==== Training 784x10x10x10 ANN ======
Epoch 30: 9337 / 10000
Epoch 31: 9327 / 10000
Epoch 32: 9338 / 10000
Epoch 33: 9329 / 10000
Epoch 34: 9339 / 10000
Epoch 35: 9333 / 10000
Epoch 36: 9331 / 10000
Epoch 37: 9356 / 10000
Epoch 38: 9354 / 10000
Epoch 39: 9353 / 10000
Epoch 40: 9356 / 10000
Epoch 41: 9363 / 10000
Epoch 42: 9349 / 10000
Epoch 43: 9350 / 10000
Epoch 44: 9365 / 10000
Epoch 45: 9359 / 10000
Epoch 46: 9351 / 10000
Epoch 47: 9365 / 10000
Epoch 48: 9365 / 10000
Epoch 49: 9367 / 10000
==== Training 784x30x40x10 ANN DONE... ======
==== Training 784x30x50x10 ANN ======
Epoch 0: 7945 / 10000
Epoch 1: 8557 / 10000
Epoch 2: 8767 / 10000
Epoch 3: 8891 / 10000
Epoch 4: 8955 / 10000
Epoch 5: 9016 / 10000
Epoch 6: 9045 / 10000
Epoch 7: 9085 / 10000
Epoch 8: 9124 / 10000
Epoch 9: 9141 / 10000
Epoch 10: 9167 / 10000
Epoch 11: 9187 / 10000
Epoch 12: 9195 / 10000
Epoch 13: 9227 / 10000
Epoch 14: 9232 / 10000
Epoch 15: 9241 / 10000
Epoch 16: 9269 / 10000
Epoch 17: 9286 / 10000
Epoch 18: 9297 / 10000
Epoch 19: 9304 / 10000
Epoch 20: 9300 / 10000
Epoch 21: 9325 / 10000
Epoch 22: 9318 / 10000
Epoch 23: 9317 / 10000
Epoch 24: 9341 / 10000
Epoch 25: 9340 / 10000
Epoch 26: 9349 / 10000
Epoch 27: 9356 / 10000
Epoch 28: 9345 / 10000
Epoch 29: 9355 / 10000
Epoch 30: 9364 / 10000
Epoch 31: 9357 / 10000
Epoch 32: 9346 / 10000
Epoch 33: 9359 / 10000
Epoch 34: 9376 / 10000
Epoch 35: 9373 / 10000
Epoch 36: 9371 / 10000
Epoch 37: 9368 / 10000
Epoch 38: 9381 / 10000
Epoch 39: 9385 / 10000
Epoch 40: 9391 / 10000
Epoch 41: 9396 / 10000
Epoch 42: 9398 / 10000
Epoch 43: 9397 / 10000
Epoch 44: 9405 / 10000
Epoch 45: 9403 / 10000
Epoch 46: 9394 / 10000
Epoch 47: 9406 / 10000
Epoch 48: 9409 / 10000
Epoch 49: 9413 / 10000
==== Training 784x30x50x10 ANN DONE... ======
==== Training 784x40x10x10 ANN ======
Epoch 0: 5106 / 10000
Epoch 1: 7325 / 10000
Epoch 2: 8030 / 10000
Epoch 3: 8383 / 10000
Epoch 4: 8595 / 10000
